vibration phone (s)	vibration watch (s)	difference (s)	error indicator
2.15520576	2.23424541	0.07903965000000035	
3.14461825	3.19502228	0.05040402999999971	
3.93464812	4.05425769	0.11960957000000016	
4.62170309	4.66957358	0.04787049000000021	
6.9296544	7.00369366	0.07403925999999927	
7.74388621	7.80869139	0.06480517999999957	
8.70366299	8.75243356	0.04877057000000029	
9.47555808	9.52009498	0.04453689999999888	
10.1733139	10.22975175	0.05643785000000001	
11.74833991	11.83257999	0.08424007999999894	
12.50223356	12.55293762	0.050704059999999274	
13.17402064	13.21109027	0.03706962999999952	
13.83450681	13.88011046	0.04560364999999855	
14.61660272	14.65750599	0.04090327000000116	
20.09944137	20.22348462	0.12404324999999972	
20.93540825	20.97711158	0.041703330000000705	
21.62519677	21.66876692	0.04357015000000075	
22.3222192	22.36572268	0.043503480000001815	
22.99343956	23.03577628	0.04233672000000155	
23.65525918	23.69912936	0.04387017999999898	
24.31481195	24.37568348	0.06087153000000001	
24.96103031	25.00723401	0.046203699999999515	
25.59468101	25.63545094	0.04076992999999973	
26.25010011	26.29610379	0.046003679999998326	
34.20690335	34.6662401	0.4593367500000056	
35.47560485	35.51980839	0.04420353999999804	
36.21259715	36.28373617	0.07113901999999683	
36.91828694	36.96852429	0.050237349999996184	
37.6248768	37.673214	0.04833719999999886	
38.37440343	38.42970786	0.05530442999999963	
39.02492214	39.06749222	0.04257007999999729	
39.34651454	39.38748448	0.04096993999999654	
39.75211366	39.79728394	0.04517028000000067	
40.17674763	40.22068448	0.04393685000000147	
40.60351511	40.65595263	0.05243752000000512	
41.06118505	41.10252169	0.041336640000004365	
48.26119442	48.32326605	0.06207162999999838	
51.25910093	51.3250062	0.06590526999999469	
52.514168	52.589174	0.0750060000000019	
53.06147846	53.11708291	0.055604450000004135	
53.43807525	53.48197877	0.04390352000000064	
53.8861111	53.92568093	0.03956982999999781	
54.35188169	54.39715198	0.045270289999997715	
62.18557509	62.2590143	0.07343920999999654	
64.47579165	64.54866414	0.07287248999999463	
65.20638343	65.27988931	0.07350587999999902	
65.93257486	65.97247805	0.039903190000003974	
66.5950612	66.64223164	0.047170440000002145	
67.16584019	67.21754433	0.05170413999999823	
67.75265381	67.79852414	0.045870329999999626	
68.34930154	68.37723711	0.0279355699999968	
68.89927888	68.96751767	0.06823879000000943	
71.94195563	72.01939516	0.07743953000000658	
72.7356858	72.78278957	0.04710377000000676	
73.39303839	73.46921115	0.07617276000000572	
76.05395128	76.13942478	0.08547349999999199	
77.94813615	78.01734169	0.06920553999999868	
81.18386169	81.25366727	0.06980557999999348	
83.83477377	83.90911305	0.07433928000000378	
86.03988352	86.10165513	0.06177160999999387	
87.49569999	87.55077107	0.0550710799999905	
88.94598269	88.98795271	0.041970020000007935	
89.59823487	89.64043825	0.042203380000003676	
90.9035393	90.95841036	0.05487105999999642	
92.04013023	92.08623392	0.04610368999999537	
93.18145488	93.25606085	0.07460596999999325	
95.90463941	95.97017799	0.0655385799999948	
96.51632168	96.55709161	0.04076992999999618	
98.48937953	98.58132022	0.09194069000000127	
